Time_[sec] velocity_[m/s] position_[m/s]
0.339 0.00489528 0.306869
0.34 0.00492351 0.306869
0.341 0.00495182 0.306869
0.342 0.0049802 0.306869
0.343 0.00500866 0.306868
0.344 0.00503719 0.306869
0.345 0.0050658 0.306869
0.346 0.00509448 0.306869
0.347 0.00512324 0.306868
0.348 0.00515207 0.306868
0.349 0.00518098 0.306868
0.35 0.00520996 0.306869
0.351 0.00523901 0.306868
0.352 0.00526814 0.306869
0.353 0.00529734 0.306869
0.354 0.00532662 0.30687
0.355 0.00535597 0.30687
0.356 0.0053854 0.306869
0.357 0.0054149 0.306869
0.358 0.00544447 0.306869
0.359 0.00547412 0.306869
0.36 0.00550384 0.306869
0.361 0.00553363 0.306869
0.362 0.0055635 0.30687
0.363 0.00559344 0.306869
0.364 0.00562346 0.30687
0.365 0.00565355 0.306869
0.366 0.00568371 0.306869
0.367 0.00571394 0.306868
0.368 0.00574425 0.306869
0.369 0.00577463 0.30687
0.37 0.00580509 0.30687
0.371 0.00583561 0.306869
0.372 0.00586621 0.30687
0.373 0.00589689 0.306869
0.374 0.00592763 0.306869
0.375 0.00595845 0.306868
0.376 0.00598934 0.30687
0.377 0.0060203 0.306869
0.378 0.00605134 0.306869
0.379 0.00608245 0.306869
0.38 0.00611362 0.30687
0.381 0.00614488 0.306868
0.382 0.0061762 0.306869
0.383 0.0062076 0.306869
0.384 0.00623906 0.306869
0.385 0.0062706 0.306869
0.386 0.00630222 0.306868
0.387 0.0063339 0.306868
0.388 0.00636565 0.306868
0.389 0.00639748 0.306869
0.39 0.00642938 0.306869
0.391 0.00646135 0.306869
0.392 0.00649339 0.30687
0.393 0.0065255 0.30687
0.394 0.00655768 0.306869
0.395 0.00658994 0.30687
0.396 0.00662226 0.306869
0.397 0.00665466 0.30687
0.398 0.00668712 0.306869
0.399 0.00671966 0.30687
0.4 0.00675227 0.30687
0.401 0.00678495 0.306869
0.402 0.0068177 0.30687
0.403 0.00685052 0.30687
0.404 0.00688341 0.30687
0.405 0.00691637 0.30687
0.406 0.0069494 0.306871
0.407 0.0069825 0.30687
0.408 0.00701567 0.30687
0.409 0.00704891 0.30687
0.41 0.00708222 0.306869
0.411 0.0071156 0.306869
0.412 0.00714905 0.306869
0.413 0.00718257 0.30687
0.414 0.00721615 0.30687
0.415 0.00724981 0.306869
0.416 0.00728354 0.306869
0.417 0.00731734 0.306869
0.418 0.0073512 0.306868
0.419 0.00738514 0.30687
0.42 0.00741914 0.30687
0.421 0.00745321 0.30687
0.422 0.00748736 0.306869
0.423 0.00752157 0.30687
0.424 0.00755584 0.306869
0.425 0.00759019 0.306869
0.426 0.00762461 0.30687
0.427 0.00765909 0.306869
0.428 0.00769365 0.30687
0.429 0.00772827 0.306871
0.43 0.00776296 0.30687
0.431 0.00779771 0.30687
0.432 0.00783254 0.30687
0.433 0.00786743 0.306868
0.434 0.0079024 0.30687
0.435 0.00793742 0.306869
0.436 0.00797252 0.306869
0.437 0.00800768 0.30687
0.438 0.00804292 0.30687
0.439 0.00807822 0.30687
0.44 0.00811358 0.306869
0.441 0.00814902 0.30687
0.442 0.00818452 0.306869
0.443 0.00822008 0.306869
0.444 0.00825572 0.306869
0.445 0.00829142 0.30687
0.446 0.00832719 0.30687
0.447 0.00836302 0.306869
0.448 0.00839893 0.30687
0.449 0.00843489 0.30687
0.45 0.00847093 0.306869
0.451 0.00850703 0.306871
0.452 0.0085432 0.30687
0.453 0.00857943 0.30687
0.454 0.00861573 0.306871
0.455 0.00865209 0.30687
0.456 0.00868853 0.30687
0.457 0.00872502 0.30687
0.458 0.00876159 0.306868
0.459 0.00879821 0.306869
0.46 0.00883491 0.30687
0.461 0.00887167 0.30687
0.462 0.00890849 0.306869
0.463 0.00894538 0.306869
0.464 0.00898234 0.30687
0.465 0.00901936 0.30687
0.466 0.00905644 0.30687
0.467 0.00909359 0.30687
0.468 0.00913081 0.30687
0.469 0.00916809 0.30687
0.47 0.00920543 0.30687
0.471 0.00924284 0.306871
0.472 0.00928031 0.30687
0.473 0.00931785 0.306869
0.474 0.00935545 0.30687
0.475 0.00939312 0.30687
0.476 0.00943085 0.306869
0.477 0.00946864 0.30687
0.478 0.0095065 0.306869
0.479 0.00954442 0.306869
0.481 0.00962045 0.30687
0.482 0.00965857 0.306869
0.483 0.00969674 0.306869
0.484 0.00973498 0.306869
0.485 0.00977328 0.306869
0.486 0.00981165 0.306868
0.487 0.00985008 0.306869
0.488 0.00988857 0.306869
0.489 0.00992712 0.306869
0.49 0.00996574 0.30687
0.491 0.0100044 0.306869
0.492 0.0100432 0.30687
0.493 0.010082 0.30687
0.494 0.0101208 0.30687
0.495 0.0101598 0.306869
0.496 0.0101988 0.306869
0.497 0.0102378 0.30687
0.498 0.0102769 0.306869
0.499 0.0103161 0.30687
0.5 0.0103553 0.30687
0.501 0.0103946 0.30687
0.502 0.010434 0.306871
0.503 0.0104734 0.30687
0.504 0.0105129 0.30687
0.505 0.0105525 0.30687
0.506 0.0105921 0.306871
0.507 0.0106317 0.306872
0.508 0.0106715 0.30687
0.509 0.0107113 0.306871
0.51 0.0107511 0.30687
0.511 0.010791 0.30687
0.512 0.010831 0.30687
0.513 0.010871 0.30687
0.514 0.0109111 0.306871
0.515 0.0109513 0.306869
0.516 0.0109915 0.306869
0.517 0.0110318 0.306869
0.518 0.0110721 0.306869
0.519 0.0111125 0.30687
0.52 0.0111529 0.30687
0.521 0.0111935 0.30687
0.522 0.011234 0.306871
0.523 0.0112747 0.30687
0.524 0.0113154 0.306869
0.525 0.0113561 0.30687
0.526 0.0113969 0.306871
0.527 0.0114378 0.306869
0.528 0.0114787 0.306869
0.529 0.0115197 0.30687
0.53 0.0115608 0.306869
0.531 0.0116019 0.306869
0.532 0.011643 0.30687
0.533 0.0116842 0.306869
0.534 0.0117255 0.306869
0.535 0.0117669 0.306869
0.538 0.0118912 0.306869
0.539 0.0119328 0.306869
0.54 0.0119744 0.306869
0.541 0.0120161 0.30687
0.542 0.0120579 0.30687
0.543 0.0120997 0.30687
0.544 0.0121415 0.306869
0.545 0.0121834 0.306869
0.546 0.0122254 0.30687
0.547 0.0122674 0.306869
0.548 0.0123095 0.306869
0.549 0.0123517 0.30687
0.55 0.0123939 0.306869
0.551 0.0124361 0.30687
0.552 0.0124785 0.30687
0.553 0.0125208 0.30687
0.554 0.0125633 0.306869
0.555 0.0126057 0.306869
0.556 0.0126483 0.30687
0.557 0.0126909 0.30687
0.558 0.0127335 0.306871
0.559 0.0127762 0.30687
0.56 0.012819 0.306869
0.561 0.0128618 0.30687
0.562 0.0129047 0.30687
0.563 0.0129476 0.306869
0.564 0.0129906 0.30687
0.565 0.0130336 0.306869
0.566 0.0130767 0.30687
0.567 0.0131199 0.30687
0.568 0.0131631 0.30687
0.569 0.0132064 0.306871
0.57 0.0132497 0.306869
0.571 0.013293 0.30687
0.572 0.0133365 0.30687
0.573 0.0133799 0.30687
0.574 0.0134235 0.30687
0.575 0.0134671 0.30687
0.576 0.0135107 0.30687
0.577 0.0135544 0.30687
0.578 0.0135981 0.30687
0.579 0.0136419 0.30687
0.58 0.0136858 0.30687
0.581 0.0137297 0.30687
0.582 0.0137737 0.30687
0.583 0.0138177 0.306869
0.584 0.0138618 0.306869
0.585 0.0139059 0.30687
0.586 0.0139501 0.30687
0.587 0.0139943 0.30687
0.588 0.0140386 0.306869
0.589 0.0140829 0.30687
0.59 0.0141273 0.30687
0.591 0.0141717 0.30687
0.592 0.0142162 0.30687
0.593 0.0142607 0.306869
0.594 0.0143053 0.306869
0.595 0.01435 0.30687
0.596 0.0143947 0.30687
0.597 0.0144394 0.30687
0.598 0.0144842 0.306869
0.599 0.0145291 0.306869
0.6 0.014574 0.306869
0.601 0.0146189 0.306869
0.602 0.014664 0.306869
0.603 0.014709 0.30687
0.604 0.0147541 0.306869
0.605 0.0147993 0.30687
0.606 0.0148445 0.30687
0.607 0.0148897 0.30687
0.608 0.0149351 0.30687
0.609 0.0149804 0.30687
0.61 0.0150258 0.306869
0.611 0.0150713 0.30687
0.612 0.0151168 0.306868
0.613 0.0151624 0.30687
0.614 0.015208 0.306869
0.615 0.0152536 0.306869
0.616 0.0152994 0.30687
0.617 0.0153451 0.306869
0.618 0.0153909 0.30687
0.619 0.0154368 0.30687
0.62 0.0154827 0.30687
0.621 0.0155286 0.306869
0.622 0.0155747 0.30687
0.623 0.0156207 0.306869
0.624 0.0156668 0.306871
0.625 0.015713 0.30687
0.626 0.0157592 0.30687
0.627 0.0158054 0.30687
0.628 0.0158517 0.306871
0.629 0.0158981 0.306871
0.63 0.0159445 0.306871
0.631 0.0159909 0.30687
0.632 0.0160374 0.30687
0.633 0.0160839 0.306871
0.634 0.0161305 0.306871
0.635 0.0161771 0.30687
0.636 0.0162238 0.306871
0.638 0.0163173 0.306871
0.639 0.0163641 0.306871
0.64 0.016411 0.30687
0.641 0.0164579 0.306871
0.642 0.0165049 0.30687
0.643 0.0165519 0.306869
0.644 0.0165989 0.306871
0.645 0.016646 0.30687
0.646 0.0166932 0.30687
0.647 0.0167404 0.30687
0.648 0.0167876 0.30687
0.649 0.0168349 0.30687
0.65 0.0168822 0.306869
0.651 0.0169296 0.306869
0.652 0.016977 0.306868
0.653 0.0170245 0.306869
0.654 0.017072 0.306869
0.655 0.0171196 0.306869
0.656 0.0171672 0.306869
0.657 0.0172148 0.306869
0.658 0.0172625 0.306869
0.659 0.0173102 0.30687
0.66 0.017358 0.30687
0.661 0.0174058 0.306869
0.662 0.0174537 0.306869
0.663 0.0175016 0.306869
0.664 0.0175496 0.306869
0.665 0.0175976 0.30687
0.666 0.0176456 0.30687
0.667 0.0176937 0.30687
0.668 0.0177418 0.30687
0.669 0.01779 0.30687
0.67 0.0178382 0.30687
0.671 0.0178865 0.30687
0.672 0.0179348 0.30687
0.673 0.0179831 0.306869
0.674 0.0180315 0.306871
0.675 0.01808 0.30687
0.676 0.0181284 0.30687
0.677 0.018177 0.306869
0.678 0.0182255 0.30687
0.679 0.0182741 0.30687
0.68 0.0183228 0.30687
0.681 0.0183715 0.30687
0.682 0.0184202 0.306869
0.683 0.018469 0.306869
0.684 0.0185178 0.30687
0.685 0.0185666 0.30687
0.686 0.0186155 0.306869
0.687 0.0186645 0.306869
0.688 0.0187134 0.30687
0.689 0.0187625 0.306869
0.69 0.0188115 0.306869
0.691 0.0188606 0.306869
0.692 0.0189098 0.30687
0.693 0.0189589 0.30687
0.694 0.0190082 0.306869
0.695 0.0190574 0.306869
0.696 0.0191067 0.306869
0.697 0.0191561 0.306869
0.698 0.0192055 0.306869
0.699 0.0192549 0.306869
0.7 0.0193044 0.306869
0.701 0.0193539 0.306868
0.702 0.0194034 0.306869
0.703 0.019453 0.306869
0.704 0.0195026 0.30687
0.705 0.0195523 0.306869
0.706 0.019602 0.306868
0.707 0.0196517 0.306869
0.708 0.0197015 0.306869
0.709 0.0197513 0.306869
0.71 0.0198011 0.306869
0.711 0.019851 0.306869
0.712 0.019901 0.30687
0.713 0.0199509 0.306869
0.714 0.0200009 0.30687
0.715 0.020051 0.306869
0.716 0.0201011 0.306869
0.717 0.0201512 0.30687
0.718 0.0202013 0.30687
0.719 0.0202515 0.30687
0.72 0.0203018 0.306869
0.721 0.020352 0.306869
